name,date,status,note,association
מפקד פלוגה,2026-06-07,activity,תרגיל,מפקדה
מפקד פלוגה,2026-06-08,activity,,מפקדה
מפקד פלוגה,2026-06-09,activity,,מפקדה
מפקד פלוגה,2026-06-10,activity,,מפקדה
מפקד פלוגה,2026-06-11,activity,,מפקדה
מפקד פלוגה,2026-06-12,activity,תדריך,מפקדה
מפקד פלוגה,2026-06-13,activity,,מפקדה
מפקד פלוגה,2026-06-14,activity,תדריך,מפקדה
מפקד פלוגה,2026-06-15,activity,,מפקדה
מפקד פלוגה,2026-06-16,activity,,מפקדה
מפקד פלוגה,2026-06-17,activity,,מפקדה
מפקד פלוגה,2026-06-18,activity,,מפקדה
סגן מפקד פלוגה,2026-04-26,activity,,מפקדה
סגן מפקד פלוגה,2026-04-27,activity,,מפקדה
סגן מפקד פלוגה,2026-04-28,activity,,מפקדה
סגן מפקד פלוגה,2026-04-29,activity,,מפקדה
סגן מפקד פלוגה,2026-04-30,activity,,מפקדה
סגן מפקד פלוגה,2026-05-01,activity,,מפקדה
סגן מפקד פלוגה,2026-05-02,activity,,מפקדה
סגן מפקד פלוגה,2026-05-03,activity,,מפקדה
סגן מפקד פלוגה,2026-05-04,activity,,מפקדה
סגן מפקד פלוגה,2026-05-05,activity,אימון ירי,מפקדה
סגן מפקד פלוגה,2026-05-06,activity,,מפקדה
סגן מפקד פלוגה,2026-05-07,activity,,מפקדה
סגן מפקד פלוגה,2026-05-08,activity,,מפקדה
סגן מפקד פלוגה,2026-05-09,activity,,מפקדה
סגן מפקד פלוגה,2026-05-10,activity,,מפקדה
סגן מפקד פלוגה,2026-05-11,activity,,מפקדה
סגן מפקד פלוגה,2026-05-12,activity,,מפקדה
סגן מפקד פלוגה,2026-05-13,activity,,מפקדה
סגן מפקד פלוגה,2026-05-14,activity,,מפקדה
סגן מפקד פלוגה,2026-05-15,activity,,מפקדה
סגן מפקד פלוגה,2026-05-16,activity,,מפקדה
סגן מפקד פלוגה,2026-05-17,activity,,מפקדה
סגן מפקד פלוגה,2026-05-18,activity,,מפקדה
סגן מפקד פלוגה,2026-05-19,activity,,מפקדה
סגן מפקד פלוגה,2026-05-20,activity,,מפקדה
סגן מפקד פלוגה,2026-05-21,activity,,מפקדה
סגן מפקד פלוגה,2026-05-22,switch-home,,מפקדה
סגן מפקד פלוגה,2026-05-23,home,,מפקדה
סגן מפקד פלוגה,2026-05-24,switch-base,,מפקדה
סגן מפקד פלוגה,2026-05-25,activity,,מפקדה
סגן מפקד פלוגה,2026-05-26,activity,,מפקדה
סגן מפקד פלוגה,2026-05-27,activity,,מפקדה
סגן מפקד פלוגה,2026-05-28,activity,,מפקדה
סגן מפקד פלוגה,2026-05-29,activity,,מפקדה
סגן מפקד פלוגה,2026-05-30,activity,,מפקדה
סגן מפקד פלוגה,2026-05-31,activity,,מפקדה
סגן מפקד פלוגה,2026-06-01,activity,,מפקדה
סגן מפקד פלוגה,2026-06-02,activity,,מפקדה
סגן מפקד פלוגה,2026-06-03,activity,,מפקדה
סגן מפקד פלוגה,2026-06-04,activity,,מפקדה
סגן מפקד פלוגה,2026-06-05,activity,,מפקדה
סגן מפקד פלוגה,2026-06-06,activity,אבטחה,מפקדה
סגן מפקד פלוגה,2026-06-07,activity,,מפקדה
סגן מפקד פלוגה,2026-06-08,activity,תחזוקה,מפקדה
סגן מפקד פלוגה,2026-06-09,activity,,מפקדה
סגן מפקד פלוגה,2026-06-10,activity,,מפקדה
סגן מפקד פלוגה,2026-06-11,activity,,מפקדה
סגן מפקד פלוגה,2026-06-12,activity,,מפקדה
סגן מפקד פלוגה,2026-06-13,activity,,מפקדה
סגן מפקד פלוגה,2026-06-14,activity,,מפקדה
סגן מפקד פלוגה,2026-06-15,activity,,מפקדה
סגן מפקד פלוגה,2026-06-16,activity,,מפקדה
סגן מפקד פלוגה,2026-06-17,activity,,מפקדה
סגן מפקד פלוגה,2026-06-18,activity,,מפקדה
מפקד מחלקה 1,2026-04-26,activity,,מחלקה 1
מפקד מחלקה 1,2026-04-27,activity,אבטחה,מחלקה 1
מפקד מחלקה 1,2026-04-28,activity,,מחלקה 1
מפקד מחלקה 1,2026-04-29,activity,,מחלקה 1
מפקד מחלקה 1,2026-04-30,switch-home,,מחלקה 1
מפקד מחלקה 1,2026-05-01,home,,מחלקה 1
מפקד מחלקה 1,2026-05-02,home,,מחלקה 1
מפקד מחלקה 1,2026-05-03,home,,מחלקה 1
מפקד מחלקה 1,2026-05-04,switch-base,,מחלקה 1
מפקד מחלקה 1,2026-05-05,activity,תרגיל,מחלקה 1
מפקד מחלקה 1,2026-05-06,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-07,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-08,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-09,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-10,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-11,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-12,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-13,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-14,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-15,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-16,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-17,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-18,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-19,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-20,switch-home,,מחלקה 1
מפקד מחלקה 1,2026-05-21,home,,מחלקה 1
מפקד מחלקה 1,2026-05-22,home,,מחלקה 1
מפקד מחלקה 1,2026-05-23,home,,מחלקה 1
מפקד מחלקה 1,2026-05-24,switch-base,,מחלקה 1
מפקד מחלקה 1,2026-05-25,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-26,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-27,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-28,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-29,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-30,activity,,מחלקה 1
מפקד מחלקה 1,2026-05-31,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-01,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-02,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-03,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-04,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-05,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-06,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-07,activity,הכשרה,מחלקה 1
מפקד מחלקה 1,2026-06-08,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-09,switch-home,,מחלקה 1
מפקד מחלקה 1,2026-06-10,home,,מחלקה 1
מפקד מחלקה 1,2026-06-11,home,,מחלקה 1
מפקד מחלקה 1,2026-06-12,home,,מחלקה 1
מפקד מחלקה 1,2026-06-13,switch-base,,מחלקה 1
מפקד מחלקה 1,2026-06-14,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-15,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-16,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-17,activity,,מחלקה 1
מפקד מחלקה 1,2026-06-18,activity,,מחלקה 1
מ.כ 1.1,2026-04-26,activity,,מחלקה 1
מ.כ 1.1,2026-04-27,activity,,מחלקה 1
מ.כ 1.1,2026-04-28,activity,,מחלקה 1
מ.כ 1.1,2026-04-29,activity,,מחלקה 1
מ.כ 1.1,2026-04-30,switch-home,,מחלקה 1
מ.כ 1.1,2026-05-01,home,,מחלקה 1
מ.כ 1.1,2026-05-02,home,,מחלקה 1
מ.כ 1.1,2026-05-03,home,,מחלקה 1
מ.כ 1.1,2026-05-04,home,,מחלקה 1
מ.כ 1.1,2026-05-05,home,,מחלקה 1
מ.כ 1.1,2026-05-06,home,,מחלקה 1
מ.כ 1.1,2026-05-07,home,תרגיל,מחלקה 1
מ.כ 1.1,2026-05-08,home,,מחלקה 1
מ.כ 1.1,2026-05-09,switch-base,,מחלקה 1
מ.כ 1.1,2026-05-10,activity,,מחלקה 1
מ.כ 1.1,2026-05-11,activity,,מחלקה 1
מ.כ 1.1,2026-05-12,activity,,מחלקה 1
מ.כ 1.1,2026-05-13,activity,,מחלקה 1
מ.כ 1.1,2026-05-14,activity,,מחלקה 1
מ.כ 1.1,2026-05-15,activity,,מחלקה 1
מ.כ 1.1,2026-05-16,activity,,מחלקה 1
מ.כ 1.1,2026-05-17,activity,,מחלקה 1
מ.כ 1.1,2026-05-18,activity,,מחלקה 1
מ.כ 1.1,2026-05-19,activity,,מחלקה 1
מ.כ 1.1,2026-05-20,switch-home,,מחלקה 1
מ.כ 1.1,2026-05-21,home,,מחלקה 1
מ.כ 1.1,2026-05-22,home,,מחלקה 1
מ.כ 1.1,2026-05-23,home,,מחלקה 1
מ.כ 1.1,2026-05-24,home,תחזוקה,מחלקה 1
מ.כ 1.1,2026-05-25,home,,מחלקה 1
מ.כ 1.1,2026-05-26,home,,מחלקה 1
מ.כ 1.1,2026-05-27,home,,מחלקה 1
מ.כ 1.1,2026-05-28,home,,מחלקה 1
מ.כ 1.1,2026-05-29,switch-base,,מחלקה 1
מ.כ 1.1,2026-05-30,activity,,מחלקה 1
מ.כ 1.1,2026-05-31,activity,,מחלקה 1
מ.כ 1.1,2026-06-01,activity,,מחלקה 1
מ.כ 1.1,2026-06-02,activity,,מחלקה 1
מ.כ 1.1,2026-06-03,activity,,מחלקה 1
מ.כ 1.1,2026-06-04,activity,שמירה,מחלקה 1
מ.כ 1.1,2026-06-05,activity,,מחלקה 1
מ.כ 1.1,2026-06-06,activity,,מחלקה 1
מ.כ 1.1,2026-06-07,activity,,מחלקה 1
מ.כ 1.1,2026-06-08,activity,,מחלקה 1
מ.כ 1.1,2026-06-09,switch-home,אבטחה,מחלקה 1
מ.כ 1.1,2026-06-10,home,,מחלקה 1
מ.כ 1.1,2026-06-11,home,,מחלקה 1
מ.כ 1.1,2026-06-12,home,,מחלקה 1
מ.כ 1.1,2026-06-13,home,שמירה,מחלקה 1
מ.כ 1.1,2026-06-14,home,,מחלקה 1
מ.כ 1.1,2026-06-15,home,,מחלקה 1
מ.כ 1.1,2026-06-16,home,,מחלקה 1
מ.כ 1.1,2026-06-17,home,,מחלקה 1
מ.כ 1.1,2026-06-18,switch-base,,מחלקה 1
מ.כ 1.2,2026-04-26,activity,,מחלקה 1
מ.כ 1.2,2026-04-27,activity,,מחלקה 1
מ.כ 1.2,2026-04-28,activity,,מחלקה 1
מ.כ 1.2,2026-04-29,activity,תחזוקה,מחלקה 1
מ.כ 1.2,2026-04-30,switch-home,,מחלקה 1
מ.כ 1.2,2026-05-01,home,,מחלקה 1
מ.כ 1.2,2026-05-02,home,אבטחה,מחלקה 1
מ.כ 1.2,2026-05-03,home,,מחלקה 1
מ.כ 1.2,2026-05-04,home,,מחלקה 1
מ.כ 1.2,2026-05-05,home,,מחלקה 1
מ.כ 1.2,2026-05-06,home,,מחלקה 1
מ.כ 1.2,2026-05-07,home,,מחלקה 1
מ.כ 1.2,2026-05-08,home,,מחלקה 1
מ.כ 1.2,2026-05-09,switch-base,,מחלקה 1
מ.כ 1.2,2026-05-10,activity,,מחלקה 1
מ.כ 1.2,2026-05-11,activity,אימון ירי,מחלקה 1
מ.כ 1.2,2026-05-12,activity,,מחלקה 1
מ.כ 1.2,2026-05-13,activity,,מחלקה 1
מ.כ 1.2,2026-05-14,activity,,מחלקה 1
מ.כ 1.2,2026-05-15,activity,,מחלקה 1
מ.כ 1.2,2026-05-16,activity,,מחלקה 1
מ.כ 1.2,2026-05-17,activity,,מחלקה 1
מ.כ 1.2,2026-05-18,activity,,מחלקה 1
מ.כ 1.2,2026-05-19,activity,,מחלקה 1
מ.כ 1.2,2026-05-20,switch-home,,מחלקה 1
מ.כ 1.2,2026-05-21,home,,מחלקה 1
מ.כ 1.2,2026-05-22,home,,מחלקה 1
מ.כ 1.2,2026-05-23,home,,מחלקה 1
מ.כ 1.2,2026-05-24,home,אבטחה,מחלקה 1
מ.כ 1.2,2026-05-25,home,,מחלקה 1
מ.כ 1.2,2026-05-26,home,,מחלקה 1
מ.כ 1.2,2026-05-27,home,,מחלקה 1
מ.כ 1.2,2026-05-28,home,,מחלקה 1
מ.כ 1.2,2026-05-29,switch-base,,מחלקה 1
מ.כ 1.2,2026-05-30,activity,,מחלקה 1
מ.כ 1.2,2026-05-31,activity,,מחלקה 1
מ.כ 1.2,2026-06-01,activity,,מחלקה 1
מ.כ 1.2,2026-06-02,activity,תדריך,מחלקה 1
מ.כ 1.2,2026-06-03,activity,,מחלקה 1
מ.כ 1.2,2026-06-04,activity,,מחלקה 1
מ.כ 1.2,2026-06-05,activity,,מחלקה 1
מ.כ 1.2,2026-06-06,activity,,מחלקה 1
מ.כ 1.2,2026-06-07,activity,,מחלקה 1
מ.כ 1.2,2026-06-08,activity,,מחלקה 1
מ.כ 1.2,2026-06-09,switch-home,ביקורת ציוד,מחלקה 1
מ.כ 1.2,2026-06-10,home,,מחלקה 1
מ.כ 1.2,2026-06-11,home,,מחלקה 1
מ.כ 1.2,2026-06-12,home,,מחלקה 1
מ.כ 1.2,2026-06-13,home,,מחלקה 1
מ.כ 1.2,2026-06-14,home,,מחלקה 1
מ.כ 1.2,2026-06-15,home,,מחלקה 1
מ.כ 1.2,2026-06-16,home,,מחלקה 1
מ.כ 1.2,2026-06-17,home,,מחלקה 1
מ.כ 1.2,2026-06-18,switch-base,,מחלקה 1
מ.כ 1.3,2026-04-26,activity,,מחלקה 1
מ.כ 1.3,2026-04-27,activity,,מחלקה 1
מ.כ 1.3,2026-04-28,activity,,מחלקה 1
מ.כ 1.3,2026-04-29,activity,,מחלקה 1
מ.כ 1.3,2026-04-30,switch-home,,מחלקה 1
מ.כ 1.3,2026-05-01,home,,מחלקה 1
מ.כ 1.3,2026-05-02,home,,מחלקה 1
מ.כ 1.3,2026-05-03,home,,מחלקה 1
מ.כ 1.3,2026-05-04,home,,מחלקה 1
מ.כ 1.3,2026-05-05,home,,מחלקה 1
מ.כ 1.3,2026-05-06,home,,מחלקה 1
מ.כ 1.3,2026-05-07,home,,מחלקה 1
מ.כ 1.3,2026-05-08,home,,מחלקה 1
מ.כ 1.3,2026-05-09,switch-base,,מחלקה 1
מ.כ 1.3,2026-05-10,activity,,מחלקה 1
מ.כ 1.3,2026-05-11,activity,,מחלקה 1
מ.כ 1.3,2026-05-12,activity,,מחלקה 1
מ.כ 1.3,2026-05-13,activity,אימון ירי,מחלקה 1
מ.כ 1.3,2026-05-14,activity,,מחלקה 1
מ.כ 1.3,2026-05-15,activity,,מחלקה 1
מ.כ 1.3,2026-05-16,activity,,מחלקה 1
מ.כ 1.3,2026-05-17,activity,,מחלקה 1
מ.כ 1.3,2026-05-18,activity,תחזוקה,מחלקה 1
מ.כ 1.3,2026-05-19,activity,,מחלקה 1
מ.כ 1.3,2026-05-20,switch-home,,מחלקה 1
מ.כ 1.3,2026-05-21,home,,מחלקה 1
מ.כ 1.3,2026-05-22,home,,מחלקה 1
מ.כ 1.3,2026-05-23,home,ביקורת ציוד,מחלקה 1
מ.כ 1.3,2026-05-24,home,,מחלקה 1
מ.כ 1.3,2026-05-25,home,,מחלקה 1
מ.כ 1.3,2026-05-26,home,תחזוקה,מחלקה 1
מ.כ 1.3,2026-05-27,home,,מחלקה 1
מ.כ 1.3,2026-05-28,home,דו״ח,מחלקה 1
מ.כ 1.3,2026-05-29,switch-base,,מחלקה 1
מ.כ 1.3,2026-05-30,activity,,מחלקה 1
מ.כ 1.3,2026-05-31,activity,,מחלקה 1
מ.כ 1.3,2026-06-01,activity,,מחלקה 1
מ.כ 1.3,2026-06-02,activity,,מחלקה 1
מ.כ 1.3,2026-06-03,activity,,מחלקה 1
מ.כ 1.3,2026-06-04,activity,,מחלקה 1
מ.כ 1.3,2026-06-05,activity,,מחלקה 1
מ.כ 1.3,2026-06-06,activity,,מחלקה 1
מ.כ 1.3,2026-06-07,activity,,מחלקה 1
מ.כ 1.3,2026-06-08,activity,,מחלקה 1
מ.כ 1.3,2026-06-09,switch-home,,מחלקה 1
מ.כ 1.3,2026-06-10,home,,מחלקה 1
מ.כ 1.3,2026-06-11,home,,מחלקה 1
מ.כ 1.3,2026-06-12,home,,מחלקה 1
מ.כ 1.3,2026-06-13,home,,מחלקה 1
מ.כ 1.3,2026-06-14,home,,מחלקה 1
מ.כ 1.3,2026-06-15,home,,מחלקה 1
מ.כ 1.3,2026-06-16,home,,מחלקה 1
מ.כ 1.3,2026-06-17,home,,מחלקה 1
מ.כ 1.3,2026-06-18,switch-base,,מחלקה 1
נהג 1.4,2026-04-26,activity,,מחלקה 1
נהג 1.4,2026-04-27,activity,,מחלקה 1
נהג 1.4,2026-04-28,activity,,מחלקה 1
נהג 1.4,2026-04-29,activity,,מחלקה 1
נהג 1.4,2026-04-30,switch-home,,מחלקה 1
נהג 1.4,2026-05-01,home,,מחלקה 1
נהג 1.4,2026-05-02,home,,מחלקה 1
נהג 1.4,2026-05-03,home,,מחלקה 1
נהג 1.4,2026-05-04,home,,מחלקה 1
נהג 1.4,2026-05-05,home,,מחלקה 1
נהג 1.4,2026-05-06,home,,מחלקה 1
נהג 1.4,2026-05-07,home,תדריך,מחלקה 1
נהג 1.4,2026-05-08,home,,מחלקה 1
נהג 1.4,2026-05-09,switch-base,,מחלקה 1
נהג 1.4,2026-05-10,activity,,מחלקה 1
נהג 1.4,2026-05-11,activity,,מחלקה 1
נהג 1.4,2026-05-12,activity,,מחלקה 1
נהג 1.4,2026-05-13,activity,,מחלקה 1
נהג 1.4,2026-05-14,activity,,מחלקה 1
נהג 1.4,2026-05-15,activity,,מחלקה 1
נהג 1.4,2026-05-16,activity,,מחלקה 1
נהג 1.4,2026-05-17,activity,,מחלקה 1
נהג 1.4,2026-05-18,activity,,מחלקה 1
נהג 1.4,2026-05-19,activity,,מחלקה 1
נהג 1.4,2026-05-20,switch-home,,מחלקה 1
נהג 1.4,2026-05-21,home,,מחלקה 1
נהג 1.4,2026-05-22,home,,מחלקה 1
נהג 1.4,2026-05-23,home,,מחלקה 1
נהג 1.4,2026-05-24,home,,מחלקה 1
נהג 1.4,2026-05-25,home,,מחלקה 1
נהג 1.4,2026-05-26,home,,מחלקה 1
נהג 1.4,2026-05-27,home,,מחלקה 1
נהג 1.4,2026-05-28,home,,מחלקה 1
נהג 1.4,2026-05-29,switch-base,,מחלקה 1
נהג 1.4,2026-05-30,activity,,מחלקה 1
נהג 1.4,2026-05-31,activity,,מחלקה 1
נהג 1.4,2026-06-01,activity,,מחלקה 1
נהג 1.4,2026-06-02,activity,,מחלקה 1
נהג 1.4,2026-06-03,activity,,מחלקה 1
נהג 1.4,2026-06-04,activity,,מחלקה 1
נהג 1.4,2026-06-05,activity,,מחלקה 1
נהג 1.4,2026-06-06,activity,,מחלקה 1
נהג 1.4,2026-06-07,activity,,מחלקה 1
נהג 1.4,2026-06-08,activity,,מחלקה 1
נהג 1.4,2026-06-09,switch-home,,מחלקה 1
נהג 1.4,2026-06-10,home,,מחלקה 1
נהג 1.4,2026-06-11,home,ביקורת ציוד,מחלקה 1
נהג 1.4,2026-06-12,home,,מחלקה 1
נהג 1.4,2026-06-13,home,,מחלקה 1
נהג 1.4,2026-06-14,home,,מחלקה 1
נהג 1.4,2026-06-15,home,,מחלקה 1
נהג 1.4,2026-06-16,home,,מחלקה 1
נהג 1.4,2026-06-17,home,,מחלקה 1
נהג 1.4,2026-06-18,switch-base,,מחלקה 1
נהג 1.5,2026-04-26,activity,,מחלקה 1
נהג 1.5,2026-04-27,activity,הכשרה,מחלקה 1
נהג 1.5,2026-04-28,activity,,מחלקה 1
נהג 1.5,2026-04-29,activity,,מחלקה 1
נהג 1.5,2026-04-30,switch-home,,מחלקה 1
נהג 1.5,2026-05-01,home,,מחלקה 1
נהג 1.5,2026-05-02,home,,מחלקה 1
נהג 1.5,2026-05-03,home,,מחלקה 1
נהג 1.5,2026-05-04,home,,מחלקה 1
נהג 1.5,2026-05-05,home,,מחלקה 1
נהג 1.5,2026-05-06,home,,מחלקה 1
נהג 1.5,2026-05-07,home,,מחלקה 1
נהג 1.5,2026-05-08,home,ביקורת ציוד,מחלקה 1
נהג 1.5,2026-05-09,switch-base,,מחלקה 1
נהג 1.5,2026-05-10,activity,,מחלקה 1
נהג 1.5,2026-05-11,activity,,מחלקה 1
נהג 1.5,2026-05-12,activity,אימון ירי,מחלקה 1
נהג 1.5,2026-05-13,activity,,מחלקה 1
נהג 1.5,2026-05-14,activity,,מחלקה 1
נהג 1.5,2026-05-15,activity,,מחלקה 1
נהג 1.5,2026-05-16,activity,,מחלקה 1
נהג 1.5,2026-05-17,activity,,מחלקה 1
נהג 1.5,2026-05-18,activity,,מחלקה 1
נהג 1.5,2026-05-19,activity,,מחלקה 1
נהג 1.5,2026-05-20,switch-home,תדריך,מחלקה 1
נהג 1.5,2026-05-21,home,,מחלקה 1
נהג 1.5,2026-05-22,home,,מחלקה 1
נהג 1.5,2026-05-23,home,,מחלקה 1
נהג 1.5,2026-05-24,home,,מחלקה 1
נהג 1.5,2026-05-25,home,תרגיל,מחלקה 1
נהג 1.5,2026-05-26,home,,מחלקה 1
נהג 1.5,2026-05-27,home,,מחלקה 1
נהג 1.5,2026-05-28,home,,מחלקה 1
נהג 1.5,2026-05-29,switch-base,,מחלקה 1
נהג 1.5,2026-05-30,activity,,מחלקה 1
נהג 1.5,2026-05-31,activity,,מחלקה 1
נהג 1.5,2026-06-01,activity,,מחלקה 1
נהג 1.5,2026-06-02,activity,,מחלקה 1
נהג 1.5,2026-06-03,activity,,מחלקה 1
נהג 1.5,2026-06-04,activity,,מחלקה 1
נהג 1.5,2026-06-05,activity,תדריך,מחלקה 1
נהג 1.5,2026-06-06,activity,,מחלקה 1
נהג 1.5,2026-06-07,activity,,מחלקה 1
נהג 1.5,2026-06-08,activity,,מחלקה 1
נהג 1.5,2026-06-09,switch-home,,מחלקה 1
נהג 1.5,2026-06-10,home,,מחלקה 1
נהג 1.5,2026-06-11,home,,מחלקה 1
נהג 1.5,2026-06-12,home,,מחלקה 1
נהג 1.5,2026-06-13,home,,מחלקה 1
נהג 1.5,2026-06-14,home,,מחלקה 1
נהג 1.5,2026-06-15,home,,מחלקה 1
נהג 1.5,2026-06-16,home,,מחלקה 1
נהג 1.5,2026-06-17,home,תדריך,מחלקה 1
נהג 1.5,2026-06-18,switch-base,,מחלקה 1
נהג 1.6,2026-04-26,activity,,מחלקה 1
נהג 1.6,2026-04-27,activity,,מחלקה 1
נהג 1.6,2026-04-28,activity,,מחלקה 1
נהג 1.6,2026-04-29,activity,,מחלקה 1
נהג 1.6,2026-04-30,switch-home,,מחלקה 1
נהג 1.6,2026-05-01,home,,מחלקה 1
נהג 1.6,2026-05-02,home,,מחלקה 1
נהג 1.6,2026-05-03,home,,מחלקה 1
נהג 1.6,2026-05-04,home,,מחלקה 1
נהג 1.6,2026-05-05,home,,מחלקה 1
נהג 1.6,2026-05-06,home,,מחלקה 1
נהג 1.6,2026-05-07,home,,מחלקה 1
נהג 1.6,2026-05-08,home,,מחלקה 1
נהג 1.6,2026-05-09,switch-base,,מחלקה 1
נהג 1.6,2026-05-10,activity,,מחלקה 1
נהג 1.6,2026-05-11,activity,,מחלקה 1
נהג 1.6,2026-05-12,activity,,מחלקה 1
נהג 1.6,2026-05-13,activity,,מחלקה 1
נהג 1.6,2026-05-14,activity,,מחלקה 1
נהג 1.6,2026-05-15,activity,,מחלקה 1
נהג 1.6,2026-05-16,activity,,מחלקה 1
נהג 1.6,2026-05-17,activity,,מחלקה 1
נהג 1.6,2026-05-18,activity,,מחלקה 1
נהג 1.6,2026-05-19,activity,,מחלקה 1
נהג 1.6,2026-05-20,switch-home,,מחלקה 1
נהג 1.6,2026-05-21,home,,מחלקה 1
נהג 1.6,2026-05-22,home,,מחלקה 1
נהג 1.6,2026-05-23,home,,מחלקה 1
נהג 1.6,2026-05-24,home,,מחלקה 1
נהג 1.6,2026-05-25,home,,מחלקה 1
נהג 1.6,2026-05-26,home,,מחלקה 1
נהג 1.6,2026-05-27,home,,מחלקה 1
נהג 1.6,2026-05-28,home,,מחלקה 1
נהג 1.6,2026-05-29,switch-base,,מחלקה 1
נהג 1.6,2026-05-30,activity,,מחלקה 1
נהג 1.6,2026-05-31,activity,,מחלקה 1
נהג 1.6,2026-06-01,activity,,מחלקה 1
נהג 1.6,2026-06-02,activity,,מחלקה 1
נהג 1.6,2026-06-03,activity,,מחלקה 1
נהג 1.6,2026-06-04,activity,דו״ח,מחלקה 1
נהג 1.6,2026-06-05,activity,,מחלקה 1
נהג 1.6,2026-06-06,activity,,מחלקה 1
נהג 1.6,2026-06-07,activity,,מחלקה 1
נהג 1.6,2026-06-08,activity,הכשרה,מחלקה 1
נהג 1.6,2026-06-09,switch-home,,מחלקה 1
נהג 1.6,2026-06-10,home,,מחלקה 1
נהג 1.6,2026-06-11,home,,מחלקה 1
נהג 1.6,2026-06-12,home,,מחלקה 1
נהג 1.6,2026-06-13,home,,מחלקה 1
נהג 1.6,2026-06-14,home,,מחלקה 1
נהג 1.6,2026-06-15,home,,מחלקה 1
נהג 1.6,2026-06-16,home,,מחלקה 1
נהג 1.6,2026-06-17,home,,מחלקה 1
נהג 1.6,2026-06-18,switch-base,,מחלקה 1
